,Bandit,Auction,T,k,Revenue
0,UCB,GIDM,80000,2,1947706.0
1,UCB,GIDM,80000,3,2406461.0
2,UCB,GIDM,80000,4,2707041.0
3,UCB,GIDM,80000,5,3022707.0
