,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,8.422,20000,1,285854.0,shapley_degree
1,UCB,MUDAR,6.354,20000,1,3628775.582697652,voterank
2,UCB,GIDM,14.007,20000,1,462018.0,voterank
3,UCB,MUDAN,5.948,20000,2,533543.0,voterank
4,UCB,MUDAR,10.022,20000,2,2965309.0711009447,pagerank
5,UCB,GIDM,12.854,20000,2,649546.0,degree
6,UCB,MUDAN,6.8,20000,3,683859.0,shapley_closeness
7,UCB,MUDAR,7.508,20000,3,2842840.089408221,pagerank
8,UCB,GIDM,12.802,20000,3,795898.0,degree
9,UCB,MUDAN,13.866,20000,4,847656.0,shapley_closeness
10,UCB,MUDAR,13.208,20000,4,2627482.380028181,shapley_degree
11,UCB,GIDM,12.633,20000,4,882022.0,voterank
12,UCB,MUDAN,13.224,20000,5,954375.0,shapley_closeness
13,UCB,MUDAR,10.64,20000,5,2401463.6731399987,pagerank
14,UCB,GIDM,14.974,20000,5,938687.0,shapley_threshold
